NTA Single Analysis Summary File,
Created with NTA 3.3 Dev Build 3.3.301,
,
[Experiment Details],,
Software Version,NTA 3.3 Dev Build 3.3.301,
Experiment Name,1000x_H_4_2_real 2024-09-25 14-10-36.nano,
Operator Name,,
Time Captured,14:10:36  25/09/2024,
Sample Description,,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,
Filename:,1000x_H_4_2_real 2024-09-25 14-13-53,
,,
[Conditions],,
Temperature/C,21.220,
Viscosity/cP,0.970866,
Camera Type,sCMOS,
Laser Type,Blue488,
Camera Level,14,
Slider Shutter,1259,
Slider Gain,366,
Shutter/ms,31.480000,
Camera Histogram Upper Limit,6588,
Camera Histogram Lower Limit,0,
Frame rate/fps,24.982500,
Syringe Pump Speed/AU,0,
,,
[Settings],,
Detection Threshold,3,
Max Jump Mode,Auto,
Max Jump Distance,11.2640,
Blur,Auto,
Min Track Length,Auto,
First frame,0,
Total frames analysed,1498,
,,
[Exclusion Regions]
No Exclusion Regions Used,,

[Results],,
Dilution factor (concentrations adjusted for this factor),1.00e+03,
Concentration (Particles / ml),2.00e+12,
Particles per frame,101.3,
Centres per frame,98.3,
Completed tracks,13972,
X-Drift (pix/frame),0.2,
Y-Drift (pix/frame),-0.0,
,,
[Information]
Completed Tracks,OK,
Concentration,OK,
Video length,OK,
Noise level,No,
Vibration detected,No,
Vibration correction applied,No,
Settings changed?,No,
Errors (1),,
Errors (2),,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,1000x_H_4_2_real 2024-09-25 14-13-53,
Mean,88.8,
Mode,73.3,
SD,32.0,
D10,64.9,
D50,79.8,
D90,113.6,
Valid Tracks,5338.0,
Graph Data,
Bin centre (nm),Concentration (particles / ml),
0.5,0,
1.5,0,
2.5,0,
3.5,0,
4.5,0,
5.5,0,
6.5,0,
7.5,0,
8.5,0,
9.5,0,
10.5,0,
11.5,0,
12.5,0,
13.5,0,
14.5,0,
15.5,0,
16.5,0,
17.5,0,
18.5,0,
19.5,0,
20.5,0,
21.5,0,
22.5,0,
23.5,0,
24.5,0,
25.5,0,
26.5,0,
27.5,0,
28.5,0,
29.5,0,
30.5,0,
31.5,0,
32.5,0,
33.5,18,
34.5,300,
35.5,3677,
36.5,32595,
37.5,211810,
38.5,1028973,
39.5,3831360,
40.5,11259848,
41.5,26984242,
42.5,54590502,
43.5,96561792,
44.5,154506257,
45.5,230731090,
46.5,330345018,
47.5,463209269,
