NTA Single Analysis Summary File,
Created with NTA 3.3 Dev Build 3.3.301,
,
[Experiment Details],,
Software Version,NTA 3.3 Dev Build 3.3.301,
49.5,105142178,
50.5,240097040,
51.5,515606855,
52.5,1036078465,
53.5,1940152562,
54.5,3376586283,
55.5,5456294759,
56.5,8194185142,
57.5,11469622632,
58.5,15033119120,
59.5,18564331139,
60.5,21757305334,
61.5,24395158106,
62.5,26386578509,
63.5,27759746390,
64.5,28628087997,
65.5,29147862061,
66.5,29482360274,
67.5,29778783230,
68.5,30157074167,
69.5,30706830014,
70.5,31488066216,
71.5,32532674253,
72.5,33844852312,
73.5,35400141621,
74.5,37143833272,
75.5,38990365130,
76.5,40825759054,
77.5,42514916579,
78.5,43914517822,
79.5,44890467398,
80.5,45336853338,
81.5,45192094639,
82.5,44448104613,
83.5,43150043712,
84.5,41386935772,
85.5,39275946311,
86.5,36944476102,
87.5,34514055947,
88.5,32088703875,
89.5,29748672094,
90.5,27549056584,
91.5,25521921249,
92.5,23680402057,
93.5,22023496053,
94.5,20540656100,
95.5,19215718799,
96.5,18029997423,
97.5,16964555477,
98.5,16001762379,
99.5,15126256466,
100.5,14325434194,
101.5,13589569684,
102.5,12911656330,
103.5,12287054283,
104.5,11713021890,
105.5,11188201892,
106.5,10712121852,
107.5,10284752805,
108.5,9906152163,
109.5,9576199398,
110.5,9294418602,
111.5,9059872363,
112.5,8871106928,
113.5,8726128763,
114.5,8622396052,
115.5,8556814128,
116.5,8525729939,
117.5,8524926545,
118.5,8549623567,
119.5,8594493000,
120.5,8653701491,
121.5,8720989732,
122.5,8789797023,
123.5,8853434281,
124.5,8905302385,
125.5,8939145464,
126.5,8949321684,
127.5,8931068693,
128.5,8880738136,
129.5,8795974576,
130.5,8675818798,
131.5,8520723325,
132.5,8332477809,
133.5,8114052101,
134.5,7869373650,
135.5,7603061950,
136.5,7320145430,
137.5,7025785280,
138.5,6725026919,
139.5,6422594031,
140.5,6122733578,
141.5,5829113925,
142.5,5544773014,
143.5,5272109808,
144.5,5012910118,
145.5,4768397265,
146.5,4539298458,
147.5,4325918985,
148.5,4128217889,
149.5,3945880466,
150.5,3778384515,
151.5,3625058572,
152.5,3485131432,
153.5,3357773003,
154.5,3242127047,
155.5,3137336639,
156.5,3042563334,
157.5,2957001002,
158.5,2879885285,
159.5,2810499493,
160.5,2748177660,
161.5,2692305367,
162.5,2642318812,
163.5,2597702530,
164.5,2557986076,
165.5,2522739927,
166.5,2491570789,
167.5,2464116499,
168.5,2440040632,
169.5,2419026962,
170.5,2400773863,
171.5,2384988778,
172.5,2371382857,
173.5,2359665873,
174.5,2349541546,
175.5,2340703405,
176.5,2332831321,
177.5,2325588875,
178.5,2318621710,
179.5,2311557033,
180.5,2304004409,
181.5,2295557991,
182.5,2285800287,
183.5,2274307518,
184.5,2260656548,
185.5,2244433325,
186.5,2225242613,
187.5,2202718758,
188.5,2176537074,
189.5,2146425376,
190.5,2112175066,
191.5,2073651167,
192.5,2030800655,
193.5,1983658486,
194.5,1932350810,
195.5,1877094963,
196.5,1818196060,
197.5,1756040154,
198.5,1691084204,
199.5,1623843265,
200.5,1554875523,
201.5,1484765931,
202.5,1414109282,
203.5,1343493558,
204.5,1273484386,
205.5,1204611259,
206.5,1137356086,
207.5,1072144411,
208.5,1009339471,
209.5,949239063,
210.5,892075037,
211.5,838015114,
212.5,787166611,
213.5,739581634,
214.5,695263290,
215.5,654172477,
216.5,616234860,
217.5,581347723,
218.5,549386433,
219.5,520210334,
220.5,493667948,
221.5,469601440,
222.5,447850310,
223.5,428254362,
224.5,410655980,
225.5,394901799,
226.5,380843839,
227.5,368340194,
228.5,357255353,
229.5,347460229,
230.5,338831991,
231.5,331253737,
232.5,324614090,
233.5,318806761,
234.5,313730124,
235.5,309286844,
236.5,305383588,
237.5,301930839,
238.5,298842834,
239.5,296037624,
240.5,293437275,
241.5,290968173,
242.5,288561441,
243.5,286153438,
244.5,283686302,
245.5,281108510,
246.5,278375415,
247.5,275449732,
248.5,272301911,
249.5,268910398,
250.5,265261734,
251.5,261350482,
252.5,257178980,
253.5,252756912,
254.5,248100713,
255.5,243232835,
256.5,238180885,
257.5,232976695,
258.5,227655333,
259.5,222254108,
260.5,216811605,
261.5,211366774,
262.5,205958108,
263.5,200622925,
264.5,195396769,
265.5,190312941,
266.5,185402159,
267.5,180692340,
268.5,176208497,
269.5,171972743,
270.5,168004378,
271.5,164320056,
272.5,160934001,
273.5,157858272,
274.5,155103051,
275.5,152676950,
276.5,150587319,
277.5,148840553,
278.5,147442379,
279.5,146398138,
280.5,145713033,
281.5,145392359,
282.5,145441706,
283.5,145867129,
284.5,146675295,
285.5,147873600,
286.5,149470248,
287.5,151474316,
288.5,153895770,
289.5,156745468,
290.5,160035115,
291.5,163777201,
292.5,167984888,
293.5,172671881,
294.5,177852245,
295.5,183540197,
296.5,189749851,
297.5,196494928,
298.5,203788427,
299.5,211642250,
300.5,220066799,
301.5,229070527,
302.5,238659463,
303.5,248836709,
304.5,259601909,
305.5,270950715,
306.5,282874237,
307.5,295358508,
308.5,308383961,
309.5,321924945,
310.5,335949280,
311.5,350417883,
312.5,365284463,
313.5,380495322,
314.5,395989254,
315.5,411697575,
316.5,427544290,
317.5,443446403,
318.5,459314386,
319.5,475052802,
320.5,490561089,
321.5,505734500,
322.5,520465183,
323.5,534643401,
324.5,548158861,
325.5,560902135,
326.5,572766152,
327.5,583647721,
328.5,593449064,
329.5,602079314,
330.5,609455953,
331.5,615506152,
332.5,620167976,
333.5,623391434,
334.5,625139336,
335.5,625387941,
336.5,624127377,
337.5,621361823,
338.5,617109450,
339.5,611402110,
340.5,604284804,
341.5,595814920,
342.5,586061272,
343.5,575102966,
344.5,563028114,
345.5,549932437,
346.5,535917777,
347.5,521090575,
348.5,505560322,
349.5,489438035,
350.5,472834789,
351.5,455860320,
352.5,438621734,
353.5,421222340,
354.5,403760627,
355.5,386329377,
356.5,369014952,
357.5,351896728,
358.5,335046689,
359.5,318529174,
360.5,302400763,
361.5,286710298,
362.5,271499018,
363.5,256800795,
364.5,242642466,
365.5,229044226,
366.5,216020084,
367.5,203578354,
368.5,191722181,
369.5,180450068,
370.5,169756419,
371.5,159632064,
372.5,150064775,
373.5,141039751,
374.5,132540079,
375.5,124547168,
376.5,117041133,
377.5,110001159,
378.5,103405813,
379.5,97233331,
380.5,91461859,
381.5,86069665,
382.5,81035321,
383.5,76337844,
384.5,71956826,
385.5,67872520,
386.5,64065920,
387.5,60518813,
388.5,57213811,
389.5,54134378,
390.5,51264835,
391.5,48590358,
392.5,46096968,
393.5,43771511,
394.5,41601638,
395.5,39575772,
396.5,37683083,
397.5,35913449,
398.5,34257423,
399.5,32706202,
400.5,31251587,
401.5,29885950,
402.5,28602202,
403.5,27393756,
404.5,26254503,
405.5,25178775,
406.5,24161322,
407.5,23197286,
408.5,22282173,
409.5,21411834,
410.5,20582441,
411.5,19790473,
412.5,19032692,
413.5,18306130,
414.5,17608077,
415.5,16936061,
416.5,16287841,
417.5,15661391,
418.5,15054893,
419.5,14466724,
420.5,13895447,
421.5,13339802,
422.5,12798695,
423.5,12271193,
424.5,11756508,
425.5,11253995,
426.5,10763136,
427.5,10283538,
428.5,9814913,
429.5,9357077,
430.5,8909934,
431.5,8473468,
432.5,8047731,
433.5,7632831,
434.5,7228923,
435.5,6836197,
436.5,6454869,
437.5,6085167,
438.5,5727325,
439.5,5381571,
440.5,5048119,
441.5,4727164,
442.5,4418869,
443.5,4123366,
444.5,3840745,
445.5,3571053,
446.5,3314293,
447.5,3070418,
448.5,2839332,
449.5,2620892,
450.5,2414905,
451.5,2221136,
452.5,2039303,
453.5,1869089,
454.5,1710136,
455.5,1562060,
456.5,1424445,
457.5,1296857,
458.5,1178840,
459.5,1069929,
460.5,969648,
461.5,877518,
462.5,793060,
463.5,715799,
464.5,645266,
465.5,581006,
466.5,522572,
467.5,469535,
468.5,421484,
469.5,378024,
470.5,338781,
471.5,303401,
472.5,271552,
473.5,242921,
474.5,217217,
475.5,194168,
476.5,173525,
477.5,155055,
478.5,138545,
479.5,123801,
480.5,110644,
481.5,98911,
482.5,88454,
483.5,79139,
484.5,70845,
485.5,63463,
486.5,56893,
487.5,51048,
488.5,45847,
489.5,41220,
490.5,37104,
491.5,33440,
492.5,30179,
493.5,27275,
494.5,24688,
495.5,22383,
496.5,20328,
497.5,18494,
498.5,16858,
499.5,15396,
500.5,14090,
501.5,12921,
502.5,11875,
503.5,10938,
504.5,10098,
505.5,9344,
506.5,8668,
507.5,8060,
508.5,7514,
509.5,7022,
510.5,6579,
511.5,6181,
512.5,5822,
513.5,5499,
514.5,5207,
515.5,4945,
516.5,4708,
517.5,4495,
518.5,4304,
519.5,4132,
520.5,3978,
521.5,3840,
522.5,3717,
523.5,3607,
524.5,3511,
525.5,3426,
526.5,3352,
527.5,3289,
528.5,3235,
529.5,3190,
530.5,3154,
531.5,3126,
532.5,3106,
533.5,3093,
534.5,3088,
535.5,3091,
536.5,3100,
537.5,3116,
538.5,3139,
539.5,3169,
540.5,3207,
541.5,3251,
542.5,3302,
543.5,3360,
544.5,3425,
545.5,3498,
546.5,3579,
547.5,3668,
548.5,3765,
549.5,3870,
550.5,3984,
551.5,4107,
552.5,4240,
553.5,4383,
554.5,4535,
555.5,4699,
556.5,4874,
557.5,5060,
558.5,5259,
559.5,5470,
560.5,5694,
561.5,5933,
562.5,6185,
563.5,6453,
564.5,6736,
565.5,7036,
566.5,7353,
567.5,7687,
568.5,8039,
569.5,8410,
570.5,8801,
571.5,9212,
572.5,9644,
573.5,10097,
574.5,10572,
575.5,11070,
576.5,11591,
577.5,12136,
578.5,12706,
579.5,13299,
580.5,13918,
581.5,14563,
582.5,15233,
583.5,15929,
584.5,16650,
585.5,17398,
586.5,18172,
587.5,18972,
588.5,19797,
589.5,20647,
590.5,21522,
591.5,22421,
592.5,23343,
593.5,24288,
594.5,25254,
595.5,26240,
596.5,27246,
597.5,28268,
598.5,29307,
599.5,30360,
600.5,31426,
601.5,32501,
602.5,33585,
603.5,34675,
604.5,35768,
605.5,36862,
606.5,37954,
607.5,39042,
608.5,40123,
609.5,41193,
610.5,42249,
611.5,43290,
612.5,44311,
613.5,45309,
614.5,46281,
615.5,47224,
616.5,48135,
617.5,49010,
618.5,49848,
619.5,50643,
620.5,51395,
621.5,52099,
622.5,52754,
623.5,53356,
624.5,53903,
625.5,54393,
626.5,54825,
627.5,55195,
628.5,55504,
629.5,55748,
630.5,55927,
631.5,56040,
632.5,56087,
633.5,56067,
634.5,55979,
635.5,55824,
636.5,55602,
637.5,55315,
638.5,54961,
639.5,54544,
640.5,54064,
641.5,53522,
642.5,52921,
643.5,52262,
644.5,51548,
645.5,50782,
646.5,49965,
647.5,49100,
648.5,48191,
649.5,47240,
650.5,46250,
651.5,45226,
652.5,44169,
653.5,43083,
654.5,41972,
655.5,40839,
656.5,39687,
657.5,38520,
658.5,37341,
659.5,36153,
660.5,34960,
661.5,33764,
662.5,32568,
663.5,31376,
664.5,30190,
665.5,29013,
666.5,27848,
667.5,26696,
668.5,25561,
669.5,24444,
670.5,23346,
671.5,22271,
672.5,21219,
673.5,20192,
674.5,19191,
675.5,18218,
676.5,17272,
677.5,16356,
678.5,15470,
679.5,14613,
680.5,13788,
681.5,12993,
682.5,12229,
683.5,11497,
684.5,10795,
685.5,10124,
686.5,9483,
687.5,8872,
688.5,8290,
689.5,7737,
690.5,7213,
691.5,6716,
692.5,6246,
693.5,5802,
694.5,5383,
695.5,4988,
696.5,4617,
697.5,4269,
698.5,3942,
699.5,3636,
700.5,3350,
701.5,3082,
702.5,2833,
703.5,2601,
704.5,2385,
705.5,2184,
706.5,1999,
707.5,1826,
708.5,1667,
709.5,1520,
710.5,1384,
711.5,1259,
712.5,1144,
713.5,1038,
714.5,941,
715.5,852,
716.5,771,
717.5,697,
718.5,629,
719.5,567,
720.5,510,
721.5,459,
722.5,412,
723.5,370,
724.5,332,
725.5,297,
726.5,266,
727.5,237,
728.5,212,
729.5,189,
730.5,168,
731.5,150,
732.5,133,
733.5,118,
734.5,105,
735.5,93,
736.5,82,
737.5,73,
738.5,64,
739.5,57,
740.5,50,
741.5,44,
742.5,39,
743.5,34,
744.5,30,
745.5,26,
746.5,23,
747.5,20,
748.5,17,
749.5,15,
750.5,13,
751.5,12,
752.5,10,
753.5,9,
754.5,8,
755.5,7,
756.5,6,
757.5,5,
758.5,4,
759.5,4,
760.5,3,
761.5,3,
762.5,2,
763.5,2,
764.5,2,
765.5,2,
766.5,1,
767.5,1,
768.5,0,
769.5,0,
770.5,0,
771.5,0,
772.5,0,
773.5,0,
774.5,0,
775.5,0,
776.5,0,
777.5,0,
778.5,0,
779.5,0,
780.5,0,
781.5,0,
782.5,0,
783.5,0,
784.5,0,
785.5,0,
786.5,0,
787.5,0,
788.5,0,
789.5,0,
790.5,0,
791.5,0,
792.5,0,
793.5,0,
794.5,0,
795.5,0,
796.5,0,
797.5,0,
798.5,0,
799.5,0,
800.5,0,
801.5,0,
802.5,0,
803.5,0,
804.5,0,
805.5,0,
806.5,0,
807.5,0,
808.5,0,
809.5,0,
810.5,0,
811.5,0,
812.5,0,
813.5,0,
814.5,0,
815.5,0,
816.5,0,
817.5,0,
818.5,0,
819.5,0,
820.5,0,
821.5,0,
822.5,0,
823.5,0,
824.5,0,
825.5,0,
826.5,0,
827.5,0,
828.5,0,
829.5,0,
830.5,0,
831.5,0,
832.5,0,
833.5,0,
834.5,0,
835.5,0,
836.5,0,
837.5,0,
838.5,0,
839.5,0,
840.5,0,
841.5,0,
842.5,0,
843.5,0,
844.5,0,
845.5,0,
846.5,0,
847.5,0,
848.5,0,
849.5,0,
850.5,0,
851.5,0,
852.5,0,
853.5,0,
854.5,0,
855.5,0,
856.5,0,
857.5,0,
858.5,0,
859.5,0,
860.5,0,
861.5,0,
862.5,0,
863.5,0,
864.5,0,
865.5,0,
866.5,0,
867.5,0,
868.5,0,
869.5,0,
870.5,0,
871.5,0,
872.5,0,
873.5,0,
874.5,0,
875.5,0,
876.5,0,
877.5,0,
878.5,0,
879.5,0,
880.5,0,
881.5,0,
882.5,0,
883.5,0,
884.5,0,
885.5,0,
886.5,0,
887.5,0,
888.5,0,
889.5,0,
890.5,0,
891.5,0,
892.5,0,
893.5,0,
894.5,0,
895.5,0,
896.5,0,
897.5,0,
898.5,0,
899.5,0,
900.5,0,
901.5,0,
902.5,0,
903.5,0,
904.5,0,
905.5,0,
906.5,0,
907.5,0,
908.5,0,
909.5,0,
910.5,0,
911.5,0,
912.5,0,
913.5,0,
914.5,0,
915.5,0,
916.5,0,
917.5,0,
918.5,0,
919.5,0,
920.5,0,
921.5,0,
922.5,0,
923.5,0,
924.5,0,
925.5,0,
926.5,0,
927.5,0,
928.5,0,
929.5,0,
930.5,0,
931.5,0,
932.5,0,
933.5,0,
934.5,0,
935.5,0,
936.5,0,
937.5,0,
938.5,0,
939.5,0,
940.5,0,
941.5,0,
942.5,0,
943.5,0,
944.5,0,
945.5,0,
946.5,0,
947.5,0,
948.5,0,
949.5,0,
950.5,0,
951.5,0,
952.5,0,
953.5,0,
954.5,0,
955.5,0,
956.5,0,
957.5,0,
958.5,0,
959.5,0,
960.5,0,
961.5,0,
962.5,0,
963.5,0,
964.5,0,
965.5,0,
966.5,0,
967.5,0,
968.5,0,
969.5,0,
970.5,0,
971.5,0,
972.5,0,
973.5,0,
974.5,0,
975.5,0,
976.5,0,
977.5,0,
978.5,0,
979.5,0,
980.5,0,
981.5,0,
982.5,0,
983.5,0,
984.5,0,
985.5,0,
986.5,0,
987.5,0,
988.5,0,
989.5,0,
990.5,0,
991.5,0,
992.5,0,
993.5,0,
994.5,0,
995.5,0,
996.5,0,
997.5,0,
998.5,0,
999.5,0,

Percentile,Size (nm),
0,33.0,
1,56.8,
2,58.4,
3,59.6,
4,60.5,
5,61.4,
6,62.2,
7,62.9,
8,63.6,
9,64.3,
10,65.0,
11,65.6,
12,66.3,
13,66.9,
14,67.6,
15,68.2,
16,68.9,
17,69.5,
18,70.1,
19,70.7,
20,71.4,
21,71.9,
22,72.5,
23,73.1,
24,73.6,
25,74.2,
26,74.7,
27,75.2,
28,75.7,
29,76.2,
30,76.7,
31,77.1,
32,77.6,
33,78.0,
34,78.5,
35,78.9,
36,79.4,
37,79.8,
38,80.2,
39,80.6,
40,81.1,
41,81.5,
42,81.9,
43,82.4,
44,82.8,
45,83.2,
46,83.7,
47,84.1,
48,84.6,
49,85.1,
50,85.6,
51,86.1,
52,86.6,
53,87.1,
54,87.7,
55,88.3,
56,88.9,
57,89.5,
58,90.2,
59,90.9,
60,91.6,
61,92.4,
62,93.2,
63,94.1,
64,95.1,
65,96.1,
66,97.2,
67,98.3,
68,99.6,
69,100.9,
70,102.3,
71,103.9,
72,105.6,
73,107.4,
74,109.3,
75,111.4,
76,113.6,
77,115.8,
78,118.1,
79,120.3,
80,122.5,
81,124.7,
82,126.9,
83,129.1,
84,131.3,
85,133.6,
86,136.1,
87,138.9,
88,142.0,
89,145.7,
90,150.3,
91,156.0,
92,162.8,
93,170.6,
94,178.8,
95,187.3,
96,196.8,
97,211.7,
98,267.5,
99,332.9,
100,768.0,
,,
Weighting,Surface Area,
Filename,1000x_H_4_2_real 2024-09-25 14-15-25,
Mean,162.6,
Mode,82.6,
SD,93.4,
D10,75.5,
D50,130.4,
D90,333.6,
Valid Tracks,4993.0,
Graph Data,
Bin centre (nm),Surface area conc. (nm² / ml),
0.5,0,
1.5,0,
2.5,0,
3.5,0,
4.5,0,
5.5,0,
6.5,0,
7.5,0,
8.5,0,
9.5,0,
10.5,0,
11.5,0,
12.5,0,
13.5,0,
14.5,0,
15.5,0,
16.5,0,
17.5,0,
18.5,0,
19.5,0,
20.5,0,
21.5,0,
22.5,0,
23.5,0,
24.5,0,
25.5,0,
26.5,0,
27.5,0,
28.5,2,
29.5,10,
30.5,48,
31.5,217,
32.5,942,
33.5,3943,
34.5,16021,
35.5,63407,
36.5,245039,
37.5,925522,
38.5,3415873,
39.5,12307389,
40.5,43228101,
41.5,147769109,
42.5,490731327,
43.5,1580228878,
44.5,4923765000,
45.5,14808367185,
46.5,42860033257,
47.5,118945239003,
48.5,315132649764,
49.5,793082991248,
50.5,1885716145977,
51.5,4213165708419,
52.5,8801340845539,
53.5,17121315359190,
54.5,30932489725786,
55.5,51852859182388,
56.5,80729327029629,
57.5,117070735384215,
58.5,158874644481245,
59.5,203017200898844,
60.5,246069118305739,
61.5,285175894866002,
62.5,318651498173085,
63.5,346135464652116,
64.5,368384880517156,
65.5,386885920078669,
66.5,403459202659560,
67.5,419958194230500,
68.5,438083136016948,
69.5,459285433967035,
70.5,484720710326281,
71.5,515211997812872,
72.5,551197351389948,
73.5,592652643044707,
74.5,638998246745650,
75.5,689016044184683,
76.5,740817031929705,
77.5,791903545633073,
78.5,839357218702946,
79.5,880152274709698,
80.5,911550752509142,
81.5,931498188875387,
82.5,938924035802367,
83.5,933871088989398,
84.5,917426648738387,
85.5,891484948240607,
86.5,858412277825410,
87.5,820699199577658,
88.5,780669164538519,
89.5,740281853782810,
90.5,701037509451948,
91.5,663965715548938,
92.5,629671783433236,
93.5,598413887653662,
94.5,570189905716870,
95.5,544820387946030,
96.5,522020594110222,
97.5,501459032792125,
98.5,482802459954414,
99.5,465748381806938,
100.5,450046408096007,
101.5,435509826336687,
102.5,422018808788825,
103.5,409516808738631,
104.5,398001894558573,
105.5,387514893597520,
106.5,378126174176329,
107.5,369922646191434,
108.5,362996143855363,
109.5,357433852636699,
110.5,353310955702703,
111.5,350685284810629,
112.5,349593512930237,
113.5,350048329939694,
114.5,352036079648372,
115.5,355514472430093,
116.5,360410185592884,
117.5,366616388538844,
118.5,373990451322696,
119.5,382352285797151,
120.5,391483901754049,
121.5,401130811077266,
122.5,411005859601861,
123.5,420795897048528,
124.5,430171413971085,
125.5,438798906216575,
126.5,446355319802089,
127.5,452543548070068,
128.5,457107670990800,
129.5,459846506948393,
130.5,460624128262507,
131.5,459376273956293,
132.5,456112037412698,
133.5,450910740188776,
134.5,443914436980654,
135.5,435316944323979,
136.5,425350582504305,
137.5,414271935171792,
138.5,402347869266366,
139.5,389842853934731,
140.5,377008324189419,
141.5,364074510654015,
142.5,351244851216206,
143.5,338692849567682,
144.5,326561068083351,
145.5,314961841195598,
146.5,303979261713951,
147.5,293672010969346,
148.5,284076656676800,
149.5,275211113544974,
150.5,267078037678229,
151.5,259667997339166,
152.5,252962324086737,
153.5,246935597218838,
154.5,241557750596238,
155.5,236795815542942,
156.5,232615328546521,
157.5,228981440093190,
158.5,225859763255664,
159.5,223216999380478,
160.5,221021374867914,
161.5,219242918652931,
162.5,217853605384125,
163.5,216827384921517,
164.5,216140114961779,
165.5,215769410471697,
166.5,215694421212235,
167.5,215895546961652,
168.5,216354099010838,
169.5,217051916079629,
170.5,217970942894634,
171.5,219092780251276,
172.5,220398216393755,
173.5,221866750964832,
174.5,223476124541749,
175.5,225201868833409,
176.5,227016894860880,
177.5,228891138733920,
178.5,230791286756969,
179.5,232680603282037,
180.5,234518885630062,
181.5,236262570141575,
182.5,237865011590491,
183.5,239276954405802,
184.5,240447208115543,
185.5,241323530954752,
186.5,241853714774904,
187.5,241986851538153,
188.5,241674747459866,
189.5,240873436247435,
190.5,239544729126378,
191.5,237657727914720,
192.5,235190219808083,
193.5,232129870137954,
194.5,228475133180526,
195.5,224235811625038,
196.5,219433212328460,
197.5,214099868544762,
198.5,208278825231627,
199.5,202022512051291,
200.5,195391255731507,
201.5,188451506950253,
202.5,181273874600470,
203.5,173931070549746,
204.5,166495870022108,
205.5,159039186610187,
206.5,151628347651616,
207.5,144325636948483,
208.5,137187149709371,
209.5,130261981401323,
210.5,123591750073393,
211.5,117210432399141,
212.5,111144478427611,
213.5,105413159477177,
214.5,100029097848543,
215.5,94998925676269,
216.5,90324022569141,
217.5,86001286796434,
218.5,82023901686782,
219.5,78382066721611,
220.5,75063670746643,
221.5,72054892212432,
222.5,69340717982811,
223.5,66905377793735,
224.5,64732695843230,
225.5,62806364270917,
226.5,61110145570890,
227.5,59628012427309,
228.5,58344234239704,
229.5,57243419882556,
230.5,56310526165506,
231.5,55530841136536,
232.5,54889950894816,
233.5,54373697993547,
234.5,53968138848893,
235.5,53659506827010,
236.5,53434186849179,
237.5,53278706410951,
238.5,53179746839245,
239.5,53124177401742,
240.5,53099113535403,
241.5,53091999004623,
242.5,53090710277187,
243.5,53083679887796,
244.5,53060034127248,
245.5,53009739154007,
246.5,52923748665505,
247.5,52794145686817,
248.5,52614270897204,
249.5,52378830263887,
250.5,52083975585211,
251.5,51727352819058,
252.5,51308114709770,
253.5,50826896107492,
254.5,50285752360231,
255.5,49688063108489,
256.5,49038405572183,
257.5,48342402876016,
258.5,47606554016158,
259.5,46838052671459,
260.5,46044602199936,
261.5,45234233857091,
262.5,44415134587679,
263.5,43595489765124,
264.5,42783345074011,
265.5,41986490460741,
266.5,41212367803528,
267.5,40468002761412,
268.5,39759960215260,
269.5,39094321851674,
270.5,38476683786448,
271.5,37912171680647,
272.5,37405470553731,
273.5,36960866424178,
274.5,36582296975383,
275.5,36273408619092,
276.5,36037617577084,
277.5,35878172893777,
278.5,35798219596820,
279.5,35800860522036,
280.5,35889215594190,
281.5,36066477592912,
282.5,36335963630905,
283.5,36701161721738,
284.5,37165771920201,
285.5,37733741580973,
286.5,38409294305066,
287.5,39196952135207,
288.5,40101550525487,
289.5,41128245557077,
290.5,42282512803989,
291.5,43570137183472,
292.5,44997193057485,
293.5,46570013795845,
294.5,48295149975476,
295.5,50179315380342,
296.5,52229319993310,
297.5,54451989239346,
298.5,56854068857062,
299.5,59442114950475,
300.5,62222369006386,
301.5,65200617961906,
302.5,68382039768006,
303.5,71771035324231,
304.5,75371048142780,
305.5,79184373638823,
306.5,83211960520759,
307.5,87453207355762,
308.5,91905757992927,
309.5,96565300119126,
310.5,101425371770294,
311.5,106477181101048,
312.5,111709445095777,
313.5,117108253157447,
314.5,122656961606954,
315.5,128336125040755,
316.5,134123470208809,
317.5,139993917571550,
318.5,145919654968777,
319.5,151870266880487,
320.5,157812921600248,
321.5,163712617290524,
322.5,169532486374370,
323.5,175234156091097,
324.5,180778161348885,
325.5,186124404293799,
326.5,191232653367803,
327.5,196063073082239,
328.5,200576774384893,
329.5,204736374383015,
330.5,208506553368147,
331.5,211854596626656,
332.5,214750908420999,
333.5,217169485834027,
334.5,219088340879899,
335.5,220489860365472,
336.5,221361094454841,
337.5,221693966638781,
338.5,221485399837841,
339.5,220737355565635,
340.5,219456785385605,
341.5,217655496220347,
342.5,215349933337275,
343.5,212560886951091,
344.5,209313130282958,
345.5,205634998532933,
346.5,201557919502839,
347.5,197115907514919,
348.5,192345032794456,
349.5,187282878603404,
350.5,181967998163545,
351.5,176439382791179,
352.5,170735951747546,
353.5,164896073121121,
354.5,158957123674934,
355.5,152955094060505,
356.5,146924244192502,
357.5,140896811959477,
358.5,134902776865453,
359.5,128969678704045,
